Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
IND106,ATTO,15,,6,,26,,22,,1,,25,,18,,0,,,,,,,,,
IND106,ERNA10,0,,10,,0,,0,,2,,0,,0,,0,,,,,,,,,
IND106,SPAI,0,,9,,0,,0,,0,,0,,0,,0,,,,,,,,,
IND106,ATCO,0,,0,,0,,0,,1,,0,,0,,5,,,,,,,,,
IND106,SAVE4,0,,0,,0,,0,,6,,0,,0,,0,,,,,,,,,
IND106,SATR12,0,,0,,0,,0,,0,,0,,1,,4,,,,,,,,,
IND106,GLLE3,1,,2,,0,,0,,0,,0,,0,,0,,,,,,,,,
IND106,SUNI,0,,0,,0,,0,,2,,0,,0,,0,,,,,,,,,
IND111,ATTO,5,,8,,2,,21,,20,,24,,29,,,,,,,,,,,
IND111,SPAI,11,,13,,15,,22,,28,,0,,0,,,,,,,,,,,
IND111,ERNA10,7,,11,,21,,5,,12,,0,,0,,,,,,,,,,,
IND111,DISP,4,,9,,2,,2,,3,,0,,2,,,,,,,,,,,
IND111,GLLE3,0,,0,,5,,12,,0,,0,,2,,,,,,,,,,,
IND111,ROWO,0,,0,,0,,3,,0,,0,,7,,,,,,,,,,,
IND111,SAEX,0,,0,,0,,0,,0,,2,,5,,,,,,,,,,,
IND111,SAVE4,6,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND111,ATCA2,0,,0,,0,,0,,0,,3,,0,,,,,,,,,,,
IND111,JUBA,0,,0,,0,,1,,2,,0,,0,,,,,,,,,,,
IND111,CIVU,0,,0,,0,,0,,2,,0,,0,,,,,,,,,,,
IND111,SUNI,2,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND111,ARCA6,1,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND111,ERDI4,0,,0,,0,,0,,1,,0,,0,,,,,,,,,,,
IND111,SYAS3,0,,0,,0,,0,,1,,0,,0,,,,,,,,,,,
IND111,ARTRT,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND111,ATPO,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND119,SPAI,7,,1,,17,,6,,,,,,,,,,,,,,,,,
IND119,DISP,4,,11,,2,,6,,,,,,,,,,,,,,,,,
IND119,SAVE4,0,,0,,0,,2,,,,,,,,,,,,,,,,,
IND119,SUNI,0,,0,,0,,2,,,,,,,,,,,,,,,,,
IND119,ATTO,0,,1,,0,,0,,,,,,,,,,,,,,,,,
IND119,ERNA10,0,,0,,0,,1,,,,,,,,,,,,,,,,,
IND119,ALOC2,0,,0,,0,,0,,,,,,,,,,,,,,,,,
IND119,ATCO,0,,0,,0,,0,,,,,,,,,,,,,,,,,
IND119,ELAN,0,,0,,0,,0,,,,,,,,,,,,,,,,,
IND119,HECU3,0,,0,,0,,0,,,,,,,,,,,,,,,,,
IND119,TARA,0,,0,,0,,0,,,,,,,,,,,,,,,,,
IND122,ATTO,6,,9,,6,,7,,16,,25,,14,,4,,,,,,,,,
IND122,ERNA10,5,,9,,2,,6,,0,,3,,2,,10,,,,,,,,,
IND122,GLLE3,4,,4,,1,,0,,7,,0,,5,,7,,,,,,,,,
IND122,SPAI,18,,0,,0,,0,,0,,0,,1,,0,,,,,,,,,
IND122,SAVE4,0,,6,,0,,3,,0,,0,,0,,2,,,,,,,,,
IND122,DISP,3,,2,,0,,0,,0,,0,,0,,0,,,,,,,,,
IND122,ELCI2,0,,0,,0,,0,,3,,0,,0,,0,,,,,,,,,
IND122,IVAX,0,,2,,0,,0,,0,,0,,0,,0,,,,,,,,,
IND122,SUNI,0,,0,,0,,0,,0,,1,,0,,1,,,,,,,,,
IND122,JUBA,0,,0,,1,,0,,0,,0,,0,,0,,,,,,,,,
IND124,ATTO,20,,11,,15,1,3,6,,,,,,,,,,,,,,,,
IND124,DISP,0,,37,,1,0,0,6,,,,,,,,,,,,,,,,
IND124,ERNA10,0,,5,,22,1,0,15,,,,,,,,,,,,,,,,
